,Unnamed: 0,city,city_development_Index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
50,50,city_114,0.926,Male,No relevent experience,Full time course,UH,,4,8.0,Pvt Ltd,1,43,0
51,51,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,4.0,Pvt Ltd,1,45,0
52,52,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,2,3.0,Early Stage Startup,2,52,0
53,53,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,,Other,2,19,0
54,54,city_21,0.624,Other,Has relevent experience,Full time course,Graduate,STEM,2,2.0,Funded Startup,0,32,1
55,55,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,Humanities,30,4.0,Pvt Ltd,>4,26,1
56,56,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,,Other,1,90,0
57,57,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,4.0,Pvt Ltd,3,25,0
58,58,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,Humanities,30,4.0,Pvt Ltd,>4,48,0
59,59,city_11,0.55,Other,No relevent experience,Full time course,UH,,3,,Other,0,98,0
60,60,city_93,0.865,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,3.0,Pvt Ltd,2,142,1
61,61,city_67,0.855,Other,No relevent experience,no_enrollment,Masters,Humanities,4,8.0,Pvt Ltd,4,13,0
62,62,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,Other,>4,47,0
63,63,city_16,0.91,Female,Has relevent experience,no_enrollment,Masters,Humanities,14,5.0,Public Sector,1,28,0
64,64,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,,Other,4,22,0
65,65,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,0,,Other,never,18,1
66,66,city_13,0.8270000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,2.0,Pvt Ltd,1,29,0
67,67,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,5,4.0,Other,1,46,0
68,68,city_11,0.55,Other,No relevent experience,Full time course,Graduate,STEM,0,,Other,never,12,0
69,69,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,5,4.0,Pvt Ltd,2,17,0
70,70,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,3.0,Pvt Ltd,2,65,0
71,71,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,3,4.0,Pvt Ltd,1,35,0
72,72,city_67,0.855,Male,No relevent experience,Full time course,Graduate,STEM,9,8.0,Pvt Ltd,3,14,0
73,73,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,2,1.0,Early Stage Startup,1,4,0
74,74,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,3.0,Pvt Ltd,>4,12,0
75,75,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,3.0,Pvt Ltd,2,108,0
76,76,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,30,,Other,1,136,0
77,77,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,2.0,Other,1,27,0
78,78,city_20,0.7959999999999999,Other,Has relevent experience,Part time course,Masters,STEM,4,3.0,Funded Startup,1,74,0
79,79,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,2.0,Early Stage Startup,1,86,0
80,80,city_57,0.866,Female,No relevent experience,Part time course,Graduate,STEM,0,2.0,Pvt Ltd,2,83,0
81,81,city_103,0.92,Other,No relevent experience,Full time course,UH,,4,,Other,3,75,0
82,82,city_152,0.698,Male,No relevent experience,Full time course,Masters,STEM,11,,Public Sector,2,42,0
83,83,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,4.0,Other,1,332,0
84,84,city_61,0.913,Male,No relevent experience,Full time course,Graduate,STEM,4,,Other,0,140,0
85,85,city_16,0.91,Male,No relevent experience,no_enrollment,UH,,3,,Other,never,182,0
86,86,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,Humanities,3,4.0,Pvt Ltd,1,13,1
87,87,city_19,0.682,Other,Has relevent experience,no_enrollment,Graduate,STEM,5,2.0,Pvt Ltd,2,172,1
88,88,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,10,4.0,NGO,1,48,0
89,89,city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,9,3.0,Pvt Ltd,1,33,0
90,90,city_160,0.92,Other,No relevent experience,Full time course,UH,,2,4.0,Pvt Ltd,1,142,0
91,91,city_74,0.579,Other,No relevent experience,Full time course,Graduate,STEM,2,4.0,Pvt Ltd,1,34,0
92,92,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,3.0,Pvt Ltd,2,14,1
93,93,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,2.0,Pvt Ltd,2,27,1
94,94,city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,4.0,Pvt Ltd,1,24,1
95,95,city_173,0.878,Other,No relevent experience,no_enrollment,Masters,STEM,30,,Other,1,150,0
96,96,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,5.0,NGO,>4,20,0
97,97,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,5,5.0,Other,1,140,0
98,98,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,7.0,Pvt Ltd,1,52,0
99,99,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,3.0,Pvt Ltd,2,160,0
100,100,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,7.0,Pvt Ltd,2,3,0
101,101,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,1.0,Pvt Ltd,2,2,1
102,102,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,6.0,Pvt Ltd,>4,28,0
103,103,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,Other,30,,Other,4,46,0
104,104,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,3.0,Pvt Ltd,1,210,0
105,105,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1.0,Pvt Ltd,1,36,0
106,106,city_98,0.949,Male,No relevent experience,Full time course,Graduate,STEM,4,,Other,1,160,1
107,107,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,2.0,NGO,2,101,0
108,108,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,6,3.0,Other,1,46,0
109,109,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,6.0,Pvt Ltd,>4,19,0
110,110,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,4.0,Pvt Ltd,2,26,1
111,111,city_90,0.698,Other,Has relevent experience,Full time course,Graduate,STEM,7,1.0,NGO,1,90,0
112,112,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1.0,Pvt Ltd,4,59,0
113,113,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,Business Degree,10,3.0,Funded Startup,1,260,0
114,114,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,3.0,Pvt Ltd,>4,74,0
115,115,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,30,4.0,Pvt Ltd,2,20,1
116,116,city_173,0.878,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,4.0,Pvt Ltd,2,8,0
117,117,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,4.0,Pvt Ltd,1,131,0
118,118,city_138,0.836,Male,Has relevent experience,Full time course,Masters,STEM,7,,Other,1,45,0
119,119,city_82,0.693,Male,Has relevent experience,Full time course,Graduate,STEM,11,2.0,Pvt Ltd,2,109,0
120,120,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,Humanities,3,4.0,Pvt Ltd,1,70,0
121,121,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,30,4.0,NGO,>4,17,0
122,122,city_103,0.92,Female,No relevent experience,no_enrollment,Masters,STEM,15,3.0,Pvt Ltd,1,51,0
123,123,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,3.0,Pvt Ltd,3,60,1
124,124,city_36,0.893,Other,No relevent experience,no_enrollment,Phd,STEM,30,6.0,Public Sector,>4,4,0
125,125,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,12,4.0,Pvt Ltd,>4,7,0
126,126,city_102,0.804,Other,Has relevent experience,no_enrollment,Masters,STEM,30,4.0,Pvt Ltd,3,164,0
127,127,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,,Other,4,290,0
128,128,city_102,0.804,Male,No relevent experience,no_enrollment,UH,,2,1.0,NGO,never,145,0
129,129,city_103,0.92,Other,No relevent experience,no_enrollment,Phd,STEM,21,,Other,0,70,0
130,130,city_21,0.624,Male,No relevent experience,no_enrollment,UH,,3,,Other,1,24,0
131,131,city_103,0.92,Male,No relevent experience,no_enrollment,Masters,Humanities,3,8.0,Pvt Ltd,1,133,1
132,132,city_11,0.55,Other,No relevent experience,Full time course,Graduate,STEM,2,,Other,1,20,0
133,133,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1.0,Funded Startup,1,76,0
134,134,city_90,0.698,Female,No relevent experience,Full time course,Masters,STEM,5,,Other,4,21,1
135,135,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,8,7.0,Pvt Ltd,2,34,0
136,136,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,1.0,Pvt Ltd,2,15,0
137,137,city_57,0.866,Male,No relevent experience,no_enrollment,Graduate,STEM,30,,Other,>4,156,0
138,138,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,7.0,Pvt Ltd,>4,15,0
139,139,city_114,0.926,Other,Has relevent experience,no_enrollment,Masters,STEM,30,,Other,never,120,0
140,140,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,Other,2,100,1
141,141,city_67,0.855,Male,Has relevent experience,Part time course,Graduate,STEM,6,5.0,Pvt Ltd,never,102,0
142,142,city_103,0.92,Male,No relevent experience,no_enrollment,UH,,4,,Other,never,52,0
143,143,city_114,0.926,Other,Has relevent experience,no_enrollment,UH,,9,2.0,Other,4,39,0
144,144,city_103,0.92,Male,Has relevent experience,Full time course,UH,,4,,Other,1,112,1
145,145,city_103,0.92,Male,No relevent experience,no_enrollment,Phd,STEM,30,3.0,Pvt Ltd,>4,14,0
146,146,city_16,0.91,Other,Has relevent experience,no_enrollment,UH,,11,,Other,1,4,0
147,147,city_16,0.91,Other,Has relevent experience,no_enrollment,Masters,Arts,30,6.0,NGO,>4,55,0
148,148,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,8.0,Pvt Ltd,4,49,1
149,149,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,Other,>4,72,0
150,150,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,14,7.0,Pvt Ltd,3,141,1
151,151,city_114,0.926,Male,No relevent experience,no_enrollment,UH,,6,,Pvt Ltd,never,28,0
152,152,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,8.0,Pvt Ltd,1,6,0
153,153,city_75,0.939,Other,Has relevent experience,no_enrollment,Graduate,STEM,30,,Other,never,326,0
154,154,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,30,4.0,Pvt Ltd,2,33,0
155,155,city_102,0.804,Other,No relevent experience,no_enrollment,Masters,STEM,6,8.0,Pvt Ltd,>4,40,0
156,156,city_160,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,18,,Other,1,198,1
157,157,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,15,8.0,Pvt Ltd,>4,55,0
158,158,city_150,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,30,5.0,Pvt Ltd,>4,32,0
159,159,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,30,4.0,Pvt Ltd,>4,11,0
160,160,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,1.0,Pvt Ltd,1,41,0
161,161,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,30,8.0,Public Sector,>4,87,1
162,162,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,10,4.0,Pvt Ltd,4,114,0
163,163,city_90,0.698,Male,Has relevent experience,Part time course,Masters,STEM,5,1.0,Early Stage Startup,1,15,0
164,164,city_16,0.91,Other,No relevent experience,Full time course,UH,,3,,Other,1,8,0
165,165,city_173,0.878,Female,Has relevent experience,Part time course,UH,,2,4.0,NGO,1,22,0
166,166,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,30,7.0,Pvt Ltd,4,13,0
167,167,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,1.0,Public Sector,1,246,0
168,168,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,2.0,Pvt Ltd,1,22,0
169,169,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,30,1.0,Funded Startup,1,81,0
170,170,city_175,0.7759999999999999,Other,Has relevent experience,Full time course,Graduate,STEM,4,2.0,Funded Startup,1,11,0
171,171,city_94,0.698,Male,No relevent experience,Full time course,Graduate,STEM,5,7.0,Other,0,24,1
172,172,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,4.0,Funded Startup,1,50,0
173,173,city_104,0.924,Male,No relevent experience,Full time course,UH,,6,,Other,never,15,0
174,174,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,30,2.0,Pvt Ltd,>4,31,0
175,175,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,30,3.0,Pvt Ltd,never,84,0
176,176,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,4,8.0,Pvt Ltd,1,42,0
177,177,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,10,2.0,Pvt Ltd,>4,105,1
178,178,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,30,3.0,Pvt Ltd,>4,72,0
179,179,city_115,0.789,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,2.0,Pvt Ltd,>4,42,1
180,180,city_94,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,3.0,Early Stage Startup,1,152,0
181,181,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,8.0,Pvt Ltd,1,60,0
182,182,city_21,0.624,Male,No relevent experience,Full time course,Masters,STEM,2,,Other,never,8,0
183,183,city_16,0.91,Male,No relevent experience,Full time course,Masters,STEM,13,,Other,3,17,1
184,184,city_83,0.923,Male,No relevent experience,no_enrollment,UH,,1,,Other,1,33,0
185,185,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,4,4.0,Funded Startup,never,38,0
186,186,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,14,1.0,Early Stage Startup,2,178,0
187,187,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,3.0,Pvt Ltd,1,11,0
188,188,city_36,0.893,Male,Has relevent experience,no_enrollment,UH,,30,,Other,never,87,0
189,189,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,,Other,never,84,0
190,190,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,4.0,Early Stage Startup,2,32,0
191,191,city_100,0.887,Other,Has relevent experience,no_enrollment,Masters,STEM,9,4.0,Pvt Ltd,1,31,1
192,192,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,5.0,Public Sector,1,39,0
193,193,city_59,0.775,Other,Has relevent experience,no_enrollment,Graduate,STEM,7,2.0,Pvt Ltd,1,12,0
194,194,city_21,0.624,Other,Has relevent experience,Full time course,Graduate,STEM,5,8.0,Pvt Ltd,1,50,0
195,195,city_165,0.903,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,4.0,Pvt Ltd,1,55,1
196,196,city_11,0.55,Other,Has relevent experience,no_enrollment,Graduate,STEM,5,3.0,Pvt Ltd,0,7,1
197,197,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,2,3.0,Early Stage Startup,1,104,0
198,198,city_160,0.92,Other,Has relevent experience,Full time course,Graduate,Business Degree,30,,Other,>4,90,1
199,199,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Other,30,4.0,Pvt Ltd,>4,8,0
200,200,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,Other,never,102,0
201,201,city_21,0.624,Other,Has relevent experience,no_enrollment,Masters,STEM,0,2.0,Pvt Ltd,1,202,1
202,202,city_145,0.555,Other,Has relevent experience,no_enrollment,Graduate,STEM,4,4.0,Pvt Ltd,1,22,0
203,203,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,never,42,0
204,204,city_160,0.92,Other,No relevent experience,no_enrollment,UH,,4,,Pvt Ltd,never,50,0
205,205,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,3,3.0,Funded Startup,1,88,0
206,206,city_73,0.754,Other,Has relevent experience,no_enrollment,Graduate,STEM,5,6.0,Pvt Ltd,4,81,0
207,207,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,30,8.0,Pvt Ltd,1,7,0
208,208,city_21,0.624,Male,No relevent experience,no_enrollment,UH,,3,,Pvt Ltd,never,218,0
209,209,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,8.0,Pvt Ltd,>4,62,0
210,210,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,3.0,Pvt Ltd,1,83,0
211,211,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,6.0,Pvt Ltd,>4,11,0
212,212,city_114,0.926,Male,No relevent experience,Part time course,Phd,STEM,30,3.0,Other,>4,10,0
213,213,city_28,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,10,6.0,Pvt Ltd,1,114,0
214,214,city_21,0.624,Other,Has relevent experience,no_enrollment,Masters,STEM,3,3.0,Pvt Ltd,1,36,0
215,215,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,2,,Other,never,80,1
216,216,city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,30,3.0,Public Sector,>4,108,0
217,217,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,4.0,Pvt Ltd,2,45,0
218,218,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,Other,never,77,0
219,219,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,4.0,Pvt Ltd,2,8,0
220,220,city_173,0.878,Other,No relevent experience,no_enrollment,Graduate,STEM,5,,Other,1,28,0
221,221,city_142,0.727,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,4.0,Funded Startup,>4,37,0
222,222,city_16,0.91,Other,No relevent experience,Full time course,Graduate,STEM,2,,Other,2,108,1
223,223,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,5.0,Pvt Ltd,2,162,0
224,224,city_73,0.754,Other,Has relevent experience,Full time course,UH,,9,,Other,>4,41,0
225,225,city_165,0.903,Male,Has relevent experience,no_enrollment,Masters,STEM,19,4.0,Pvt Ltd,4,4,0
226,226,city_71,0.884,Female,No relevent experience,no_enrollment,Phd,STEM,3,6.0,Public Sector,1,41,0
227,227,city_165,0.903,Other,Has relevent experience,no_enrollment,Graduate,STEM,17,8.0,Pvt Ltd,2,12,0
228,228,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,3.0,Pvt Ltd,1,190,0
229,229,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,7,3.0,Pvt Ltd,>4,29,1
230,230,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,4.0,Public Sector,1,11,0
231,231,city_103,0.92,Male,No relevent experience,Full time course,UH,,3,8.0,Pvt Ltd,1,30,0
232,232,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,4.0,Other,>4,39,0
233,233,city_102,0.804,Male,Has relevent experience,Full time course,UH,,9,,Other,1,16,0
234,234,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,30,3.0,Pvt Ltd,>4,5,0
235,235,city_26,0.698,Male,No relevent experience,Full time course,UH,,8,,Other,never,39,0
236,236,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,3.0,Pvt Ltd,>4,29,0
237,237,city_21,0.624,Other,Has relevent experience,Full time course,Masters,STEM,4,3.0,NGO,2,210,0
238,238,city_103,0.92,Other,No relevent experience,Part time course,UH,,6,3.0,Funded Startup,1,54,0
239,239,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,3.0,Pvt Ltd,3,44,0
240,240,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,,Other,>4,47,0
241,241,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,6.0,NGO,>4,74,0
242,242,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,2.0,Pvt Ltd,1,8,1
243,243,city_21,0.624,Other,No relevent experience,Full time course,Graduate,STEM,7,,Other,never,20,1
244,244,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,5.0,Pvt Ltd,1,162,0
245,245,city_36,0.893,Other,No relevent experience,no_enrollment,Graduate,Business Degree,2,3.0,Pvt Ltd,1,110,0
246,246,city_46,0.762,Other,Has relevent experience,Part time course,UH,,3,2.0,Pvt Ltd,1,262,0
247,247,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,Other,1,6,0
